Element,Z,Electronegativity,IonizationPotential,ElectronAffinity,HOMO,LUMO,r_s_orbital,r_p_orbital,r_d_orbital,r_atomic_nonbonded,r_valence_lastorbital,r_covalent,Valence,PeriodicColumn,PeriodicColumn_upto18,NumberUnfilledOrbitals,Polarizability
H,1,2.2,-12.6833,-1.5273,-6.4925,0.725,0.3865,,,0.37,0.3865,0.31,1,1,1,1,4.5071074237
He,2,,-26.7499,3.0204,-15.761,1.5714,0.2964,1.0292,0.4176,0.32,0.2964,0.28,2,8,18,0,1.383746
Li,3,0.98,-5.3606,-0.5863,-2.8744,-0.9074,1.6578,1.8874,2.0869,1.34,1.6578,1.28,1,1,1,1,164
Be,4,1.57,-9.5007,0.7972,-5.6097,-2.0104,1.0805,1.2128,1.9594,0.9,1.0805,0.96,2,2,2,0,37.71
B,5,2.04,-8.1261,0.0312,-3.6067,2.4547,0.8025,0.8348,1.3619,0.82,0.8348,0.84,3,3,13,5,20.53
C,6,2.55,-10.7409,-0.7107,-5.2854,3.7464,0.6418,0.6367,1.1355,0.77,0.6367,0.76,4,4,14,4,11.26
N,7,3.04,-13.5656,-1.6769,-7.0898,4.1526,0.5361,0.5154,1.214,0.75,0.5154,0.71,5,5,15,3,7.6
O,8,3.44,-16.306,-2.8171,-9.0305,4.2084,0.4608,0.4333,1.075,0.73,0.4333,0.66,6,6,16,2,5.24
F,9,3.98,-19.2531,-4.0848,-11.114,1.7177,0.4044,0.374,1.0655,0.71,0.374,0.57,7,7,17,1,3.7
Ne,10,,-22.3492,5.0478,-13.333,2.7416,0.3604,0.3292,1.9061,0.69,0.3292,0.58,8,8,18,0,2.67
Na,11,0.93,-5.1426,-0.6355,-0.2186,0.9747,1.7586,2.2172,8.6288,1.54,1.7586,1.66,1,1,1,1,162.7
Mg,12,1.31,-7.9325,1.5388,-4.7054,-1.0945,1.3518,1.6131,1.9324,1.3,1.3518,1.41,2,2,2,0,70.89
Al,13,1.61,-5.7176,0.0364,-2.712,3.1169,1.1043,1.3965,1.7101,1.18,1.3965,1.21,3,3,13,5,55.4
Si,14,1.9,-7.6857,-0.8063,-4.0809,3.7444,0.9466,1.1405,1.1619,1.11,1.1405,1.11,4,4,14,4,37.31
P,15,2.19,-9.6945,-1.5964,-5.5066,4.1941,0.8336,0.9712,1.4172,1.06,0.9712,1.07,5,5,15,3,24.93
S,16,2.58,-11.7248,-2.5989,-7.0084,4.6395,0.7473,0.8493,1.3934,1.02,0.8493,1.05,6,6,16,2,19.37
Cl,17,3.16,-13.8269,-3.6864,-8.5947,4.9242,0.6785,0.7567,1.3489,0.99,0.7567,1.02,7,7,17,1,14.57
Ar,18,,-16.078,6.5281,-10.269,4.0435,0.6222,0.6835,0.7738,0.97,0.6835,1.06,8,8,18,0,11.07
K,19,0.82,-4.3142,-0.4514,-2.3189,-0.404,2.2049,0.9378,0.9378,1.96,2.2049,2.03,1,1,1,1,290.6
Ca,20,1,-6.2818,1.2046,-3.7676,-1.9349,1.7988,2.0269,0.695,1.74,1.7988,1.76,2,2,2,0,160.77
Sc,21,1.36,-7.0542,0.8386,-3.2357,-0.1844,1.6506,1.623,0.5809,1.44,0.5809,1.7,3,3,3,9,107
Ti,22,1.54,-7.3405,0.2887,-4.2515,-0.1659,1.5455,1.5379,0.5192,1.36,0.5192,1.6,4,4,4,8,92
V,23,1.63,-7.2534,-0.2221,-4.4742,0.1316,1.5,1.4672,0.4753,1.25,0.4753,1.53,5,5,5,7,81
Cr,24,1.66,-7.3295,-0.7587,-4.4654,0.49,1.4266,1.4063,0.4392,1.27,0.4392,1.39,6,6,6,6,78
Mn,25,1.55,-7.413,-1.019,-4.4043,1.8306,1.3699,1.2646,0.4082,1.39,0.4082,1.39,7,7,7,5,65
Fe,26,1.83,-7.4058,-1.4423,-4.4232,-0.5256,1.3369,1.7071,0.3822,1.25,0.3822,1.32,8,8,8,4,58
Co,27,1.88,-7.4741,-1.3745,-4.4102,0.2412,1.2965,1.6081,0.359,1.26,0.359,1.26,9,9,9,3,53
Ni,28,1.91,-7.5452,-1.2886,-4.3916,0.5082,1.2589,1.57,0.3377,1.21,0.3377,1.24,10,10,10,2,48
Cu,29,1.9,-8.291,-1.4328,-4.6082,1.3569,1.2022,1.2492,0.319,1.38,1.2022,1.32,11,1,11,1,53.44
Zn,30,1.65,-9.8943,1.9968,-5.9772,-0.7858,1.1068,1.6435,0.2997,1.31,1.1068,1.22,12,2,12,0,38.666
Ga,31,1.81,-5.6321,0.1264,-2.5791,3.273,1.0027,1.344,0.2823,1.26,1.344,1.22,13,3,13,5,51.4
Ge,32,2.01,-7.3928,-0.7121,-3.8948,3.4236,0.922,1.1721,0.2666,1.22,1.1721,1.2,14,4,14,4,39.43
As,33,2.18,-9.0974,-1.6025,-5.1964,4.1976,0.8558,1.0507,0.2524,1.19,1.0507,1.19,15,5,15,3,29.8
Se,34,2.55,-10.7939,-2.5344,-6.5105,4.7429,0.7997,0.9578,0.2397,1.16,0.9578,1.2,16,6,16,2,26.24
Br,35,2.96,-12.5044,-3.515,-7.8585,5.4193,0.7514,0.8834,0.2281,1.14,0.8834,1.2,17,7,17,1,21.8
Kr,36,,-14.2623,6.8264,-9.2458,4.2123,0.7093,0.8218,0.2177,1.1,0.8218,1.16,18,8,18,0,17.075
Rb,37,0.82,-4.1437,-0.4859,-2.2313,-0.1321,2.3142,2.517,1.9965,2.11,2.3142,2.2,1,1,1,1,318.8
Sr,38,0.95,-5.8607,0.9177,-3.5253,-1.1102,1.9583,2.2671,1.0556,1.92,1.9583,1.95,2,2,2,0,197.2
Y,39,1.22,-6.1707,0.6624,-2.5187,-0.9887,1.7851,1.9482,0.9426,1.62,0.9426,1.9,3,3,3,9,153
Zr,40,1.33,-6.6339,-0.0117,-3.6022,-0.5279,1.6694,1.7575,0.8444,1.48,0.8444,1.75,4,4,4,8,121
Nb,41,1.6,-7.1783,-0.8556,-4.6186,-0.7269,1.5752,1.7332,0.7728,1.37,0.7728,1.64,5,5,5,7,106
Mo,42,2.16,-6.8668,-1.5561,-4.3183,-0.1345,1.5418,1.6626,0.7271,1.45,0.7271,1.54,6,6,6,6,86
Tc,43,1.9,-6.8199,-1.4006,-3.9595,0.4892,1.5154,1.6015,0.6854,1.56,0.6854,1.47,7,7,7,5,77
Ru,44,2.2,-7.567,-1.0654,-3.596,1.1132,1.4868,1.548,0.6473,1.26,0.6473,1.46,8,8,8,4,65
Rh,45,2.28,-8.3124,-0.6679,-3.5046,-3.3159,1.4607,1.5004,0.6129,1.35,0.6129,1.42,9,9,9,3,58
Pd,46,2.2,-8.97,-0.5361,-4.1184,-3.4298,1.4218,1.4577,0.5805,1.31,0.5805,1.39,10,10,10,0,32
Ag,47,1.93,-7.8182,-1.2721,-4.4022,0.9657,1.3241,1.418,0.5486,1.53,1.3241,1.45,11,1,11,1,52.5
Cd,48,1.69,-9.2605,1.6111,-5.657,-0.9432,1.2355,1.804,0.5192,1.48,1.2355,1.44,12,2,12,0,46.8
In,49,1.78,-5.3158,-0.0113,-2.5181,2.6968,1.1407,1.5133,0.4929,1.44,1.5133,1.42,13,3,13,5,62
Sn,50,1.96,-6.831,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14,4,14,4,56.34
Sb,51,2.05,-8.2918,-1.5672,-4.8268,4.7346,1.0035,1.24,0.4483,1.38,1.24,1.39,15,5,15,3,42.55
